,demand,price
2025-01-01 00:00:00,0.2345101639344261,0.0268965027322404
2025-01-01 01:00:00,0.1809027322404371,0.0249476775956284
2025-01-01 02:00:00,0.1520043989071038,0.0231079781420765
2025-01-01 03:00:00,0.1359747540983606,0.0222952459016393
2025-01-01 04:00:00,0.1311820491803278,0.0228220765027322
2025-01-01 05:00:00,0.1422871584699453,0.0282744808743169
2025-01-01 06:00:00,0.1782268032786885,0.0428678961748633
2025-01-01 07:00:00,0.2066672677595628,0.0609973497267759
2025-01-01 08:00:00,0.2310762021857924,0.0697775409836065
2025-01-01 09:00:00,0.2442133606557377,0.0637794535519125
2025-01-01 10:00:00,0.2526845081967213,0.0568427595628415
2025-01-01 11:00:00,0.2602418032786885,0.0513094808743169
2025-01-01 12:00:00,0.2529652185792349,0.0481831967213114
2025-01-01 13:00:00,0.2439892076502732,0.0453708196721311
2025-01-01 14:00:00,0.2485369398907103,0.0435783060109289
2025-01-01 15:00:00,0.2742496721311476,0.0453695901639344
2025-01-01 16:00:00,0.3187727049180328,0.0537437704918032
2025-01-01 17:00:00,0.3558767486338798,0.0594277322404371
2025-01-01 18:00:00,0.3982414480874316,0.0675186612021857
2025-01-01 19:00:00,0.4331073224043715,0.0680278142076502
2025-01-01 20:00:00,0.4226514480874316,0.0542883060109289
2025-01-01 21:00:00,0.3624636612021857,0.0448266120218579
2025-01-01 22:00:00,0.3936629781420765,0.038751693989071
2025-01-01 23:00:00,0.3160239178082191,0.0305900546448087
